cik,ticker,company_name,period_end,fiscal_year,fiscal_quarter,revenue,cogs,gross_profit,gross_margin,operating_income,operating_margin,rd_expense,rd_intensity,sga_expense,sga_intensity,data_source,replicability_score,text_source,post,post_x_replicability,ln_revenue
8670,ADP,AUTOMATIC DATA PROCESSING INC,2023-09-30,2023,3,4512400000,2515400000.0,1997000000.0,0.4426,,,236500000.0,0.0524,880300000.0,0.1951,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.23009499969504
8670,ADP,AUTOMATIC DATA PROCESSING INC,2023-12-31,2023,4,4668000000,2561600000.0,2106400000.0,0.4512,,,228700000.0,0.049,922500000.0,0.1976,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.26399655137072
8670,ADP,AUTOMATIC DATA PROCESSING INC,2024-03-31,2024,1,5253800000,2768200000.0,2485600000.0,0.4731,,,242700000.0,0.0462,940900000.0,0.1791,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.382217461249972
8670,ADP,AUTOMATIC DATA PROCESSING INC,2024-09-30,2024,3,4832700000,2633700000.0,2199000000.0,0.455,,,232600000.0,0.0481,926700000.0,0.1918,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.298671154636303
8670,ADP,AUTOMATIC DATA PROCESSING INC,2024-12-31,2024,4,5048400000,2742500000.0,2305900000.0,0.4568,,,239500000.0,0.0474,1006100000.0,0.1993,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.34233719834875
8670,ADP,AUTOMATIC DATA PROCESSING INC,2025-03-31,2025,1,5553000000,2904200000.0,2648800000.0,0.477,,,247100000.0,0.0445,1015800000.0,0.1829,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.437604159205883
8670,ADP,AUTOMATIC DATA PROCESSING INC,2025-09-30,2025,3,5175200000,2836100000.0,2339100000.0,0.452,,,251200000.0,0.0485,1006300000.0,0.1944,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.36714382269405
8670,ADP,AUTOMATIC DATA PROCESSING INC,2025-12-31,2025,4,5359300000,2889700000.0,2469600000.0,0.4608,,,257800000.0,0.0481,1068100000.0,0.1993,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold,0.3156,wayback,1,0.3156,22.402099206485662
769397,ADSK,"Autodesk, Inc.",2019-01-31,2018,4,737300000,,,,40300000.0,0.0547,,,,,RevenueFromContractWithCustomerExcludingAssessedTax; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.41850542295988
769397,ADSK,"Autodesk, Inc.",2019-04-30,2019,1,735500000,82700000.0,652800000.0,0.8876,24800000.0,0.0337,205600000.0,0.2795,99100000.0,0.1347,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.416061098005766
769397,ADSK,"Autodesk, Inc.",2019-07-31,2019,2,796800000,79500000.0,717300000.0,0.9002,73800000.0,0.0926,215400000.0,0.2703,101400000.0,0.1273,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.496114264234663
769397,ADSK,"Autodesk, Inc.",2019-10-31,2019,3,842700000,79500000.0,763200000.0,0.9057,110600000.0,0.1312,213000000.0,0.2528,99100000.0,0.1176,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.552121580742583
769397,ADSK,"Autodesk, Inc.",2020-01-31,2019,4,899300000,,,,133800000.0,0.1488,,,,,RevenueFromContractWithCustomerExcludingAssessedTax; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.617127240884745
769397,ADSK,"Autodesk, Inc.",2020-04-30,2020,1,885700000,81900000.0,803800000.0,0.9075,130600000.0,0.1475,217400000.0,0.2455,104800000.0,0.1183,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.60188885077981
769397,ADSK,"Autodesk, Inc.",2020-07-31,2020,2,913100000,80900000.0,832200000.0,0.9114,146100000.0,0.16,232500000.0,0.2546,93200000.0,0.1021,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.63235596158657
769397,ADSK,"Autodesk, Inc.",2020-10-31,2020,3,952400000,83700000.0,868700000.0,0.9121,168000000.0,0.1764,233000000.0,0.2446,98800000.0,0.1037,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.67449567257698
769397,ADSK,"Autodesk, Inc.",2021-01-31,2020,4,1039200000,,,,184400000.0,0.1774,,,,,RevenueFromContractWithCustomerExcludingAssessedTax; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.761717023320664
769397,ADSK,"Autodesk, Inc.",2021-04-30,2021,1,989000000,92000000.0,897000000.0,0.907,134000000.0,0.1355,266000000.0,0.269,112000000.0,0.1132,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.712204889586985
769397,ADSK,"Autodesk, Inc.",2021-07-31,2021,2,1060000000,106000000.0,954000000.0,0.9,148000000.0,0.1396,277000000.0,0.2613,119000000.0,0.1123,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.78153474507039
769397,ADSK,"Autodesk, Inc.",2021-10-31,2021,3,1126000000,108000000.0,1018000000.0,0.9041,193000000.0,0.1714,282000000.0,0.2504,113000000.0,0.1004,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.84193736666391
769397,ADSK,"Autodesk, Inc.",2022-04-30,2022,1,1170000000,117000000.0,1053000000.0,0.9,214000000.0,0.1829,289000000.0,0.247,120000000.0,0.1026,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.880269585756075
769397,ADSK,"Autodesk, Inc.",2022-07-31,2022,2,1237000000,119000000.0,1118000000.0,0.9038,242000000.0,0.1956,306000000.0,0.2474,128000000.0,0.1035,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.93595493035676
769397,ADSK,"Autodesk, Inc.",2022-10-31,2022,3,1280000000,120000000.0,1160000000.0,0.9062,256000000.0,0.2,311000000.0,0.243,129000000.0,0.1008,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,0,0.0,20.970125914877936
769397,ADSK,"Autodesk, Inc.",2023-04-30,2023,1,1269000000,127000000.0,1142000000.0,0.8999,217000000.0,0.171,327000000.0,0.2577,132000000.0,0.104,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,1,0.2671,20.961495025678662
769397,ADSK,"Autodesk, Inc.",2023-07-31,2023,2,1345000000,127000000.0,1218000000.0,0.9056,262000000.0,0.1948,355000000.0,0.2639,141000000.0,0.1048,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,1,0.2671,21.019659850000213
769397,ADSK,"Autodesk, Inc.",2023-10-31,2023,3,1414000000,127000000.0,1287000000.0,0.9102,334000000.0,0.2362,339000000.0,0.2397,165000000.0,0.1167,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,1,0.2671,21.06968840442079
769397,ADSK,"Autodesk, Inc.",2024-04-30,2024,1,1417000000,137000000.0,1280000000.0,0.9033,299000000.0,0.211,346000000.0,0.2442,155000000.0,0.1094,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,1,0.2671,21.071807797654955
769397,ADSK,"Autodesk, Inc.",2024-07-31,2024,2,1505000000,140000000.0,1365000000.0,0.907,343000000.0,0.2279,368000000.0,0.2445,161000000.0,0.107,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,1,0.2671,21.13205873514725
769397,ADSK,"Autodesk, Inc.",2024-10-31,2024,3,1570000000,147000000.0,1423000000.0,0.9064,346000000.0,0.2204,378000000.0,0.2408,161000000.0,0.1025,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,1,0.2671,21.174341456306628
769397,ADSK,"Autodesk, Inc.",2025-04-30,2025,1,1633000000,160000000.0,1473000000.0,0.902,233000000.0,0.1427,394000000.0,0.2413,162000000.0,0.0992,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,1,0.2671,21.213684650934738
769397,ADSK,"Autodesk, Inc.",2025-07-31,2025,2,1763000000,159000000.0,1604000000.0,0.9098,444000000.0,0.2518,413000000.0,0.2343,168000000.0,0.0953,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,1,0.2671,21.290282740362144
769397,ADSK,"Autodesk, Inc.",2025-10-31,2025,3,1853000000,165000000.0,1688000000.0,0.911,470000000.0,0.2536,416000000.0,0.2245,172000000.0,0.0928,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfRevenue; OperatingIncomeLoss,0.2671,wayback,1,0.2671,21.340071784249634
1362190,AEYE,AUDIOEYE INC,2019-03-31,2019,1,1986000,922000.0,1064000.0,0.5358,-2140000.0,-1.0775,142000.0,0.0715,1749000.0,0.8807,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,14.501633123587254
1362190,AEYE,AUDIOEYE INC,2019-06-30,2019,2,2436000,1124000.0,1312000.0,0.5386,-2019000.0,-0.8288,152000.0,0.0624,1834000.0,0.7529,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,14.705867907811925
1362190,AEYE,AUDIOEYE INC,2019-09-30,2019,3,2776000,1147000.0,1629000.0,0.5868,-2158000.0,-0.7774,149000.0,0.0537,2040000.0,0.7349,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,14.836521600608831
1362190,AEYE,AUDIOEYE INC,2020-03-31,2020,1,4261000,1320000.0,2941000.0,0.6902,-1642000.0,-0.3854,333000.0,0.0782,2432000.0,0.5708,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,15.26501443248205
1362190,AEYE,AUDIOEYE INC,2020-06-30,2020,2,5283000,1607000.0,3676000.0,0.6958,-850000.0,-0.1609,265000.0,0.0502,2556000.0,0.4838,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,15.480004676146454
1362190,AEYE,AUDIOEYE INC,2020-09-30,2020,3,5341000,1551000.0,3790000.0,0.7096,-1638000.0,-0.3067,203000.0,0.038,3197000.0,0.5986,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,15.490923459321907
1362190,AEYE,AUDIOEYE INC,2021-03-31,2021,1,5788000,1353000.0,4435000.0,0.7662,-2761000.0,-0.477,1032000.0,0.1783,3410000.0,0.5891,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,15.571297366733512
1362190,AEYE,AUDIOEYE INC,2021-06-30,2021,2,6021000,1512000.0,4509000.0,0.7489,-3095000.0,-0.514,1307000.0,0.2171,2917000.0,0.4845,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,15.610763916446585
1362190,AEYE,AUDIOEYE INC,2021-09-30,2021,3,6202000,1567000.0,4635000.0,0.7473,-4655000.0,-0.7506,1611000.0,0.2598,3175000.0,0.5119,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,15.640382378642531
1362190,AEYE,AUDIOEYE INC,2022-03-31,2022,1,6906000,1710000.0,5196000.0,0.7524,-3615000.0,-0.5235,1529000.0,0.2214,3556000.0,0.5149,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,15.747901156932075
1362190,AEYE,AUDIOEYE INC,2022-06-30,2022,2,7569000,1841000.0,5728000.0,0.7568,-2608000.0,-0.3446,1406000.0,0.1858,3505000.0,0.4631,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,15.839571516291304
1362190,AEYE,AUDIOEYE INC,2022-09-30,2022,3,7700000,1923000.0,5777000.0,0.7503,-2282000.0,-0.2964,1542000.0,0.2003,3166000.0,0.4112,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,0,0.0,15.856730886823913
1362190,AEYE,AUDIOEYE INC,2023-03-31,2023,1,7772000,1702000.0,6070000.0,0.781,-2054000.0,-0.2643,1746000.0,0.2247,3135000.0,0.4034,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,1,0.3697,15.866038089479467
1362190,AEYE,AUDIOEYE INC,2023-06-30,2023,2,7836000,1787000.0,6049000.0,0.7719,-2028000.0,-0.2588,2033000.0,0.2594,2791000.0,0.3562,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,1,0.3697,15.874239058046568
1362190,AEYE,AUDIOEYE INC,2023-09-30,2023,3,7838000,1788000.0,6050000.0,0.7719,-1390000.0,-0.1773,1955000.0,0.2494,2594000.0,0.331,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,1,0.3697,15.874494257741715
1362190,AEYE,AUDIOEYE INC,2024-03-31,2024,1,8083000,1761000.0,6322000.0,0.7821,-631000.0,-0.0781,1322000.0,0.1636,2628000.0,0.3251,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,1,0.3697,15.905273648715982
1362190,AEYE,AUDIOEYE INC,2024-06-30,2024,2,8470000,1764000.0,6706000.0,0.7917,-497000.0,-0.0587,1221000.0,0.1442,3011000.0,0.3555,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,1,0.3697,15.952041066628237
1362190,AEYE,AUDIOEYE INC,2024-09-30,2024,3,8925000,1823000.0,7102000.0,0.7957,-991000.0,-0.111,1151000.0,0.129,3794000.0,0.4251,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,1,0.3697,16.004366885629977
1362190,AEYE,AUDIOEYE INC,2025-03-31,2025,1,9733000,1995000.0,7738000.0,0.795,-940000.0,-0.0966,1153000.0,0.1185,3811000.0,0.3916,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,1,0.3697,16.09103273140863
1362190,AEYE,AUDIOEYE INC,2025-06-30,2025,2,9857000,2238000.0,7619000.0,0.773,242000.0,0.0246,1200000.0,0.1217,3731000.0,0.3785,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,1,0.3697,16.103692420647576
1362190,AEYE,AUDIOEYE INC,2025-09-30,2025,3,10227000,2312000.0,7915000.0,0.7739,-318000.0,-0.0311,1118000.0,0.1093,3506000.0,0.3428,Revenues; CostOfRevenue; OperatingIncomeLoss,0.3697,wayback,1,0.3697,16.14054183978815
78749,AGYS,AGILYSYS INC,2019-03-31,2019,1,36618000,,,,,,,,,,RevenueFromContractWithCustomerExcludingAssessedTax,0.3274,wayback,0,0.0,17.416050480754688
78749,AGYS,AGILYSYS INC,2019-06-30,2019,2,38389000,18375000.0,20014000.0,0.5213,-1544000.0,-0.0402,10064000.0,0.2622,21558000.0,0.5616,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold; OperatingIncomeLoss,0.3274,wayback,0,0.0,17.463281518187596
78749,AGYS,AGILYSYS INC,2019-09-30,2019,3,40722000,20505000.0,20217000.0,0.4965,-2881000.0,-0.0707,10778000.0,0.2647,23098000.0,0.5672,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold; OperatingIncomeLoss,0.3274,wayback,0,0.0,17.52227904491395
78749,AGYS,AGILYSYS INC,2019-12-31,2019,4,41987000,20923000.0,21064000.0,0.5017,-2696000.0,-0.0642,11285000.0,0.2688,23760000.0,0.5659,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold; OperatingIncomeLoss,0.3274,wayback,0,0.0,17.552870604525737
78749,AGYS,AGILYSYS INC,2020-03-31,2020,1,39659000,,,,,,,,,,RevenueFromContractWithCustomerExcludingAssessedTax,0.3274,wayback,0,0.0,17.495828466416302
78749,AGYS,AGILYSYS INC,2020-06-30,2020,2,29807000,11257000.0,18550000.0,0.6223,-423000.0,-0.0142,8266000.0,0.2773,18973000.0,0.6365,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold; OperatingIncomeLoss,0.3274,wayback,0,0.0,17.210253823219965
78749,AGYS,AGILYSYS INC,2020-09-30,2020,3,34360000,11206000.0,23154000.0,0.6739,6050000.0,0.1761,8257000.0,0.2403,17104000.0,0.4978,RevenueFromContractWithCustomerExcludingAssessedTax; CostOfGoodsAndServicesSold; OperatingIncomeLoss,0.3274,wayback,0,0.0,17.35240365508033
